Student_ID,School_ID,Grade,Gender,Socioeconomic_Status,Attendance_Rate,Previous_Year_GPA,Dropout_Status
STU00001,SCH444,1,M,Low,63.89793146791887,3.1539018195844006,N
STU00002,SCH128,2,F,Medium,93.3570372905661,2.377410569499496,N
STU00003,SCH179,12,F,Low,65.39288601754401,2.939195850291802,N
STU00004,SCH405,7,Other,High,78.00581508232895,0.9723757401018684,N
STU00005,SCH392,3,F,Low,98.05315977101543,2.1814027912375344,N
STU00006,SCH193,4,F,Medium,75.42308898959145,1.6740729468698867,N
STU00007,SCH092,3,M,Low,,2.494198138233496,N
STU00008,SCH369,1,F,Medium,72.92154319935258,2.2880669119682224,N
STU00009,SCH231,7,M,Medium,59.26098986037277,2.210981972003707,N
STU00010,SCH078,6,M,Medium,85.99620201620085,3.386300725814825,N
STU00011,SCH085,3,M,High,83.78567069611981,1.17460377320954,N
STU00012,SCH030,8,F,Medium,100.0,2.9209260112798434,N
STU00013,SCH213,4,M,Medium,67.66527397819023,3.476056098172477,N
STU00014,SCH049,1,M,Low,80.30154376388859,3.076268943343977,N
STU00015,SCH265,2,M,Low,87.20885450066152,3.032484783346537,Y
STU00016,SCH145,3,M,Low,100.0,3.919530406651659,N
STU00017,SCH069,1,F,High,100.0,4.0,N
STU00018,SCH058,4,F,Low,100.0,1.7574469756690023,Y
STU00019,SCH185,1,F,Medium,82.79572669328246,3.607824986276775,N
STU00020,SCH062,2,M,High,,2.3388974368762683,N
STU00021,SCH479,9,F,Low,61.41885155367302,2.9843115661848945,N
STU00022,SCH308,12,M,Medium,64.2460307040895,3.069118651043783,N
STU00023,SCH445,4,F,Low,80.53238300633042,2.609640061167971,Y
STU00024,SCH296,5,F,Medium,100.0,1.734713986056518,N
STU00025,SCH166,7,F,Low,61.29156110700913,2.5143819381812564,N
STU00026,SCH171,6,F,Low,70.22901425214094,3.0315408340053764,N
STU00027,SCH063,2,F,Low,53.73688173708647,2.7396360664512636,N
STU00028,SCH147,3,F,Medium,78.40554592154552,3.005833371834937,N
STU00029,SCH484,4,M,Medium,89.51675791383786,3.8356104028081335,N
STU00030,SCH306,3,M,Medium,50.0,2.943169008443713,N
STU00031,SCH161,2,F,Medium,53.33289260266283,2.4013671413952715,N
STU00032,SCH141,6,F,Low,97.3042704844019,2.607282993080486,N
STU00033,SCH334,2,F,Low,90.03794884806884,1.4747056584151699,N
STU00034,SCH097,2,F,Low,79.86067078220765,1.1145830257031548,N
STU00035,SCH446,2,M,Low,68.7684009685926,3.210553076615868,N
STU00036,SCH221,1,M,Low,60.3525456401264,2.0404228036518894,N
STU00037,SCH043,8,M,Medium,86.93797057259991,4.0,N
STU00038,SCH433,5,M,Low,60.67224934441369,2.0045232010950493,N
STU00039,SCH292,8,M,High,94.65057899310675,2.4867513453783916,N
STU00040,SCH378,4,F,High,82.3078167720911,3.449180272776346,N
STU00041,SCH108,4,F,Low,85.41056703513709,2.2439830710049145,N
STU00042,SCH266,5,F,Medium,81.48780930042561,1.741507435568108,N
STU00043,SCH095,3,F,Low,94.2371517715634,2.2983114857917077,N
STU00044,SCH262,4,F,Medium,74.67581916450573,3.6914347869142548,N
STU00045,SCH313,4,F,Low,87.51223901814419,2.983978404496779,N
STU00046,SCH385,11,F,Low,75.86952293903532,1.410761439065351,Y
STU00047,SCH071,9,M,Low,84.645590441164,1.0954103412804943,N
STU00048,SCH442,1,M,Low,61.815325015353885,4.0,N
STU00049,SCH219,1,F,High,50.0,3.7333857958996712,Y
STU00050,SCH021,6,M,Low,75.6713682254134,2.0463719229525665,N
STU00051,SCH092,1,F,Medium,72.32391001093767,0.9853645073789208,N
STU00052,SCH127,1,M,Medium,50.0,1.518269731521233,Y
STU00053,SCH080,1,M,Medium,94.50180601586243,4.0,N
STU00054,SCH312,3,F,Medium,100.0,2.627024356892652,N
STU00055,SCH238,3,F,Medium,68.40640464656799,2.2095822234455396,N
STU00056,SCH471,4,M,High,77.50088522522624,2.3263605456305116,N
STU00057,SCH372,12,M,High,76.05993182869463,3.4973523259959745,N
STU00058,SCH404,3,F,High,77.09275744868587,2.542384544129455,N
STU00059,SCH486,2,F,Low,50.0,0.0,N
STU00060,SCH182,4,Other,Medium,,2.3752895159519323,Y
STU00061,SCH025,2,M,Low,50.0,3.1239098708656643,Y
STU00062,SCH156,10,F,Medium,83.93378729543572,2.844865552384232,N
STU00063,SCH005,2,F,Medium,,2.5549285027700046,N
STU00064,SCH120,12,M,Low,76.31676079607172,1.9226333201840577,N
STU00065,SCH277,3,M,Low,63.526490867847116,3.635592363401603,N
STU00066,SCH018,8,F,Low,56.284906908213536,3.1387974475482388,N
STU00067,SCH431,5,M,Medium,87.13284020563817,2.22465697943072,N
STU00068,SCH198,10,M,Medium,73.32675440397162,2.222535932515379,N
STU00069,SCH057,5,F,High,69.18138691089761,1.3628887807470915,N
STU00070,SCH093,5,F,Low,57.70586576310602,1.6473261977491396,Y
